S. No,user_id,offer_id,status,started_at,completed_at,expires_at,,,,,
142,30867418-1a42-44eb-966a-a6b3255b8411,3510,ONGOING,2022-11-26 00:45:28.778333+00:00,,2022-11-28 00:45:28.782522+00:00,,,,,
143,033c38d4-fd46-45a2-b09a-18d637c54129,3183,ONGOING,2022-11-26 07:01:55.144485+00:00,,2022-11-28 07:01:55.149489+00:00,,,,,
144,033c38d4-fd46-45a2-b09a-18d637c54129,3469,ONGOING,2022-11-26 07:02:51.574776+00:00,,2022-11-28 07:02:51.579392+00:00,,,,,
145,30867418-1a42-44eb-966a-a6b3255b8411,3534,ONGOING,2022-11-26 00:45:52.405308+00:00,,2022-11-28 00:45:52.416174+00:00,,,,,
146,bf6bc6ad-bdf0-4827-a08a-a2cbadcc5108,3520,ONGOING,2022-11-26 00:45:54.667073+00:00,,2022-11-28 00:45:54.671312+00:00,,,,,
147,dd3eeb44-eb7a-4453-a6ca-c69a32e41bf2,3525,COMPLETED,2022-11-26 00:46:32.007647+00:00,2022-11-26 00:48:42.040829+00:00,,,,,,
148,39b085c1-1e08-4d4e-ae85-04c40647c989,3477,COMPLETED,2022-11-26 00:46:28.903674+00:00,2022-11-26 00:48:46.054030+00:00,,,,,,
149,0bdf2e4e-c610-4196-b8be-f08e24e97058,3510,COMPLETED,2022-11-26 00:46:58.309335+00:00,2022-11-26 01:26:33.584990+00:00,,,,,,
150,2ac81b5c-b167-4aaa-876f-b33e32c98630,3467,ONGOING,2022-11-26 00:47:24.793100+00:00,,2022-11-28 00:47:24.799073+00:00,,,,,
151,5baab7e2-f5ad-4f9d-b749-9d8e9bee9d2d,3046,ONGOING,2022-11-26 12:01:14.373091+00:00,,2022-11-28 12:01:14.380587+00:00,,,,,
152,aea58daf-f2e4-4f26-a32d-ef523795c7ec,3534,ONGOING,2022-11-26 00:47:52.784612+00:00,,2022-11-28 00:47:52.788864+00:00,,,,,
153,0bdf2e4e-c610-4196-b8be-f08e24e97058,3534,ONGOING,2022-11-26 00:49:32.797227+00:00,,2022-11-28 00:49:32.801157+00:00,,,,,
154,6b4c4353-05e7-4bd3-9a3c-de0d1a19c700,3015,ONGOING,2022-11-26 00:49:50.229223+00:00,,2022-11-28 00:49:50.233503+00:00,,,,,
155,1e4f284c-afcd-4342-b3ac-c5dd689c4258,3340,ONGOING,2022-11-26 03:25:42.320437+00:00,,2022-11-28 03:25:42.325886+00:00,,,,,
156,3db62aad-421b-474e-9b1e-8a88ff370d4f,3534,ONGOING,2022-11-26 00:48:36.795521+00:00,,2022-11-28 00:48:36.799559+00:00,,,,,
157,3a238be4-6cc0-4d68-8912-5fb002611dc5,3173,ONGOING,2022-11-26 00:49:09.828683+00:00,,2022-11-28 00:49:09.832796+00:00,,,,,
158,d601aaf2-2bfd-4e2d-9689-6828212bfe85,3340,ONGOING,2022-11-26 02:27:29.752999+00:00,,2022-11-28 02:27:29.757621+00:00,,,,,
159,06d482fe-f418-4f55-92d8-07aa3f033fd1,3441,ONGOING,2022-11-26 00:49:33.409246+00:00,,2022-11-28 00:49:33.414494+00:00,,,,,
160,be19593d-8df3-4bf7-bbc4-f2487ac544ab,3340,ONGOING,2022-11-26 00:49:40.651613+00:00,,2022-11-28 00:49:40.657639+00:00,,,,,
161,033c38d4-fd46-45a2-b09a-18d637c54129,3507,ONGOING,2022-11-26 14:10:35.359788+00:00,,2022-11-28 14:10:35.364492+00:00,,,,,
162,6b4c4353-05e7-4bd3-9a3c-de0d1a19c700,2415,COMPLETED,2022-11-26 00:50:22.476062+00:00,2022-11-26 00:55:38.630388+00:00,,,,,,
